sample	detailed_category	primary disease or tissue	_primary_site	_sample_type	_gender	_study
GTEX-T6MN-0726-SM-32PML	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-13NZB-2126-SM-5MR4Y	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-ZU9S-1926-SM-5NQBP	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-11DXW-0626-SM-5N9ER	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-UPK5-2326-SM-3P5Z8	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-VUSG-2226-SM-4KKZO	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-ZVTK-0326-SM-51MRR	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-14ABY-2126-SM-5QGQZ	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-R55F-1726-SM-2TF4R	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-U3ZH-1426-SM-4DXSR	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-13CF2-2026-SM-5K7VI	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-QEL4-2126-SM-447AE	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-11P7K-0726-SM-5EGKX	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-11EI6-0626-SM-5985T	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-11GS4-2126-SM-5A5KR	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-147F4-2826-SM-5NQBN	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-WYJK-1326-SM-3NB2T	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-145MO-0826-SM-5NQBL	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-Y111-2026-SM-4SOJA	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-13NZ9-1026-SM-5MR5K	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-QEG5-0726-SM-4R1JQ	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-111YS-1926-SM-5GICC	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-S33H-0326-SM-4AD6N	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-11PRG-0826-SM-5EQ6A	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-ZTX8-1226-SM-4YCE9	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-U412-1826-SM-4DXTJ	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-1192X-2326-SM-5987X	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-T2YK-2226-SM-32QPT	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-ZEX8-2226-SM-57WC6	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-139TU-0626-SM-5KM3X	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-SIU7-1626-SM-4BRUK	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-XMD1-0826-SM-4AT52	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-ZY6K-1626-SM-5GZWV	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-XBED-1626-SM-47JYN	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-11TT1-2126-SM-5GU5Y	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-ZV7C-1826-SM-5NQ83	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-139T6-1626-SM-5PNYZ	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-11WQC-1726-SM-5GU4W	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-X261-0626-SM-3NMD9	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-ZDXO-0126-SM-5S2ND	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-13OW8-0226-SM-5K7UP	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-11DXZ-1926-SM-5GZZL	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-ZYFC-0826-SM-5E44K	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-ZVE2-1226-SM-5NQ8R	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
GTEX-11NV4-2026-SM-5N9DG	Breast - Mammary Tissue	Breast - Mammary Tissue	Breast	Normal Tissue	Male	GTEX
