sample	detailed_category	primary disease or tissue	_primary_site	_sample_type	_gender	_study
GTEX-11ZUS-2726-SM-5FQUA	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-N7MS-0126-SM-3TW8O	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-ZVZP-2226-SM-57WBF	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-13112-0226-SM-5P9IV	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-12WSH-0326-SM-5GCNH	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-139TS-1726-SM-5IJG5	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-S95S-1126-SM-4B64E	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-13OVL-0426-SM-5IFG6	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-WVLH-2626-SM-4MVNV	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-11WQC-2326-SM-5EQKE	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-OOBK-2126-SM-3LK5T	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-11NV4-1726-SM-5N9FC	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-1212Z-0326-SM-5FQSJ	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-OXRL-2126-SM-3NM98	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-OOBJ-2126-SM-3NB1N	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-13G51-0826-SM-5K7VB	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-T6MN-2026-SM-4DM7L	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-111YS-2026-SM-5EGGL	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-ZAB5-2426-SM-5CVMW	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-ZPU1-2126-SM-57WED	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-Y111-2426-SM-4TT23	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-132QS-1226-SM-5P9GD	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-Z93S-1726-SM-5HL8G	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-11OF3-1826-SM-5987N	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-1192W-2326-SM-5N9BS	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-Q2AH-1526-SM-48TZG	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-QEG5-0126-SM-4R1JR	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-11NUK-2626-SM-5A5MB	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-Y5V6-1726-SM-4VDSZ	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-QV31-1126-SM-4R1K4	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-ZUA1-2726-SM-59HLJ	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-111VG-1926-SM-5GIDO	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-11EQ8-1426-SM-5EGJR	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-14ABY-0626-SM-5Q5C9	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-XMK1-2026-SM-4B65K	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-PLZ6-1226-SM-3P5ZS	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-ZYT6-2726-SM-5GICP	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-11TUW-2226-SM-5EQL9	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-11LCK-2326-SM-5HL53	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-ZVTK-0126-SM-57WDG	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-XQ3S-2726-SM-4BOP2	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-14753-0626-SM-5Q5CY	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-131XE-0426-SM-5IJF4	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-V1D1-2126-SM-4JBH4	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-P4QS-2126-SM-3NMCF	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-SNOS-1126-SM-4DM67	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-13NZA-2526-SM-5IJFX	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-12ZZY-0126-SM-5LZV2	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-13O61-2026-SM-5J2M6	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-144GL-0726-SM-5LU4P	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-13NZB-2026-SM-5MR4M	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-12C56-1426-SM-5FQSW	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-XAJ8-1326-SM-47JYT	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-11DXZ-2126-SM-59881	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-RUSQ-2126-SM-47JXK	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-OHPM-2126-SM-3LK75	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-REY6-0126-SM-48FDT	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-X5EB-2026-SM-4E3KA	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-12WSI-2126-SM-5GCMV	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-TKQ2-1526-SM-4DXUN	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-13O1R-0726-SM-5IJEI	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-11GS4-2026-SM-5N9CP	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-12WSM-1326-SM-5GCP9	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-ZV7C-2026-SM-5NQ8F	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-139T8-0726-SM-5L3D2	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-147JS-0126-SM-5S2TW	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-1399T-1526-SM-5P9J6	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-13N2G-0126-SM-5N9DV	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-13FLW-2126-SM-5N9FD	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-117XS-2026-SM-5GID1	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-13O21-1226-SM-5J2MK	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-OIZI-0126-SM-3NB13	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-WK11-0326-SM-4OOS6	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-WHSE-0426-SM-4M1XO	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-139TT-2226-SM-5LZWO	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-V955-1926-SM-4KL1L	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-O5YT-2126-SM-3MJGD	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-11EI6-2226-SM-5EGJM	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-13111-1526-SM-5EGJX	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-XBED-2026-SM-4AT5D	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-111FC-1926-SM-5GZYC	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-13NYB-2226-SM-5MR58	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-U8T8-1126-SM-4DXUE	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-Y3I4-2026-SM-4TT6Z	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-11NSD-1026-SM-5N9BE	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-R55C-1426-SM-48FED	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-SUCS-1326-SM-4DM5T	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-WFG8-1926-SM-4LVM1	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-YF7O-2026-SM-4W1YE	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-ZT9W-2226-SM-57WFU	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-12696-0226-SM-5EGL3	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-XPT6-1626-SM-4B655	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-11EQ9-1926-SM-5PNVV	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-12WSL-2326-SM-5DUXQ	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-YFCO-1726-SM-4W21S	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-145MH-2326-SM-5O9AW	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-ZYFC-0126-SM-5GIEH	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-145MO-0126-SM-5S2QU	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-PW2O-1426-SM-48TCD	Testis	Testis	Testis	Normal Tissue	Male	GTEX
GTEX-WHSB-2126-SM-4M1XF	Testis	Testis	Testis	Normal Tissue	Male	GTEX
