sample	detailed_category	primary disease or tissue	_primary_site	_sample_type	_gender	_study
GTEX-P4PP-2026-SM-3P61N	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
GTEX-11I78-2126-SM-5A5K8	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
GTEX-13U4I-1926-SM-5LU39	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
GTEX-131XG-2026-SM-5GCN5	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
GTEX-OHPK-2026-SM-3MJH7	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
GTEX-XV7Q-1526-SM-4BRWB	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
GTEX-RWS6-1326-SM-47JXB	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
GTEX-QCQG-1326-SM-48U24	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
GTEX-12WSG-2126-SM-5EGJ7	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
GTEX-RU72-2626-SM-4TT75	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
GTEX-131YS-2326-SM-5IJFJ	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
GTEX-PX3G-2026-SM-48U1H	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
GTEX-13D11-1226-SM-5IFGA	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
GTEX-12WSD-2826-SM-59HKT	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
GTEX-1313W-2826-SM-5P9G1	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
GTEX-11ZTS-2326-SM-5EQMY	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
GTEX-U3ZN-0726-SM-4DXT5	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
GTEX-YFC4-2826-SM-5P9FR	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
GTEX-XYKS-1626-SM-4BRUQ	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
GTEX-Y3IK-2126-SM-4YCDS	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
GTEX-PWCY-1426-SM-48TCT	Uterus	Uterus	Uterus	Normal Tissue	Female	GTEX
