sample	detailed_category	primary disease or tissue	_primary_site	_sample_type	_gender	_study
GTEX-13FHP-2426-SM-5KLZ5	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
GTEX-11ONC-2026-SM-5HL61	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
GTEX-ZYFC-2626-SM-5NQ6S	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
GTEX-12KS4-2426-SM-5LU8P	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
GTEX-111VG-2226-SM-5N9DU	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
GTEX-147JS-2526-SM-5S2Q8	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
GTEX-XMK1-1726-SM-4B64Z	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
GTEX-Z93S-2426-SM-5HL8N	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
GTEX-Y8E4-2426-SM-4WWDN	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
GTEX-ZAB4-2226-SM-5HL97	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
GTEX-11O72-2226-SM-5PNW2	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
GTEX-OXRL-1426-SM-3NM9E	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
GTEX-11NSD-1626-SM-5986U	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
GTEX-ZVP2-1526-SM-5NQ82	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
GTEX-117YX-0826-SM-5H11J	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
GTEX-O5YW-1426-SM-3MJHF	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
GTEX-145MO-2426-SM-5NQ9W	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
GTEX-148VJ-2626-SM-5QGPI	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
GTEX-TKQ2-1326-SM-4DXT9	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
GTEX-131XE-0826-SM-5HL9W	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
GTEX-13OVG-1426-SM-5K7VP	Colon - Transverse	Colon - Transverse	Colon	Normal Tissue	Male	GTEX
