sample	detailed_category	primary disease or tissue	_primary_site	_sample_type	_gender	_study
GTEX-1399R-1226-SM-5P9GF	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-YECK-1926-SM-4W21H	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-13FTZ-0726-SM-5IFFY	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-11NUK-1226-SM-5P9GM	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-1399T-0826-SM-5IFES	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-ZAB5-0426-SM-5CVMI	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-T6MN-1226-SM-3NMA5	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-139TS-1426-SM-5IFJD	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-11WQC-0726-SM-5EQMR	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-SJXC-1226-SM-4DM78	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-13VXU-0926-SM-5IFFH	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-11NV4-1326-SM-5HL6V	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-145LU-1326-SM-5LU9N	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-ZEX8-0826-SM-4WKHK	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-13OW6-2626-SM-5IFF2	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-ZPU1-0826-SM-57WG2	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-RWSA-1426-SM-47JXA	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-13FLV-0326-SM-5N9DJ	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-13112-1426-SM-5EGH8	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-11OF3-0726-SM-5BC4Z	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-147JS-1126-SM-5RQIW	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-12WSM-0726-SM-5GCOW	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-11ZUS-2526-SM-59872	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-1212Z-0226-SM-59HLF	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-QEG4-1826-SM-4R1JN	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-S33H-1626-SM-4AD68	Liver	Liver	Liver	Normal Tissue	Male	GTEX
GTEX-11DXY-0526-SM-5EGGQ	Liver	Liver	Liver	Normal Tissue	Male	GTEX
