sample	detailed_category	primary disease or tissue	_primary_site	_sample_type	_gender	_study
GTEX-S4UY-1026-SM-4AD53	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-P78B-1926-SM-3P616	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-P4PP-2426-SM-3P61L	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-12WSB-2226-SM-5GCOS	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-XYKS-1726-SM-4E3IO	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-11DXX-1426-SM-5GIDU	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-131YS-2226-SM-5P9G8	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-13QIC-1526-SM-5IJFL	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-ZP4G-0626-SM-4WWF1	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-YJ8O-1026-SM-5CVM5	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-P4QT-2426-SM-3NMCL	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-ZYFG-1726-SM-5GZZB	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-13VXT-1526-SM-5LU3J	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-ZC5H-2026-SM-5CVN2	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-PWN1-2426-SM-48TDD	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-X15G-1726-SM-4PQZN	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-13O3O-2726-SM-5KM35	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-Y3IK-2026-SM-4YCDG	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-WWYW-2726-SM-4MVOP	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-PLZ4-2826-SM-3P617	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-WXYG-1426-SM-4ONCK	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-1269C-1826-SM-5N9E1	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-OHPK-2426-SM-3MJGH	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-11VI4-1026-SM-5EQM1	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-Y114-1726-SM-4TT7U	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-11ZTS-1926-SM-5CVLA	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-WEY5-0626-SM-4LMIA	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-13N11-0526-SM-5IJFI	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-13W3W-1526-SM-5LU5I	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-YFC4-2726-SM-5IFJW	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-WYBS-2426-SM-4ONDI	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-1399S-2126-SM-5J2MH	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-13D11-1126-SM-5KLYS	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-POMQ-1426-SM-3P61D	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-12WSG-1426-SM-5FQUK	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-T5JW-0426-SM-4DM7M	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-12WSK-1926-SM-5LZVK	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-XMD3-2326-SM-4AT5H	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-13QBU-1526-SM-5LU3W	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-WYVS-1526-SM-4OND4	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-Q734-0726-SM-48TZP	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-11ZVC-1426-SM-5EGGA	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-12WSJ-1226-SM-5LU91	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
GTEX-ZZPU-2126-SM-5EGIU	Ovary	Ovary	Ovary	Normal Tissue	Female	GTEX
